name,smiles,predicted_activity,MolWt,MolLogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,RingCount
Levocabastine,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,active,420.5280000000002,4.894080000000004,4,3,1,64.33,4
Trilostane,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,active,329.44000000000005,3.466880000000002,0,4,2,76.78,5
Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,active,339.3910000000001,3.860000000000003,6,5,0,49.81,3
Trimethaphan,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,active,365.52200000000005,3.6559000000000026,4,1,0,23.550000000000004,5
Proflavine,Nc1ccc2cc3ccc(N)cc3nc2c1,active,209.25199999999998,2.5524000000000004,0,3,2,64.93,3
Rabeprazole,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,active,359.451,2.989420000000001,8,5,1,77.1,3
Prednicarbate,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,active,488.5770000000002,3.6993000000000027,6,8,1,116.2,4
Diphenylpyraline,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,active,281.3990000000001,3.8868000000000027,4,2,0,12.47,3
Terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,active,387.44000000000017,1.0567999999999995,4,8,1,103.04,4
Escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,active,324.39900000000006,3.812980000000003,5,3,0,36.26,3
Podofilox,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,active,414.41000000000025,2.4092000000000002,4,8,1,92.68,5
Ifosfamide,O=P1(NCCCl)OCCCN1CCCl,active,261.08899999999994,1.884,5,2,1,41.57,1
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,active,425.92000000000013,3.353200000000002,5,5,2,78.82,5
Pergolide,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,active,314.4980000000001,4.271100000000003,4,2,1,19.03,4
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,active,430.5410000000002,2.7168000000000014,4,6,2,93.06,5
Encainide,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,active,352.4780000000001,4.364400000000003,6,3,1,41.57,3
Diphenidol,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,active,309.45300000000003,4.188600000000004,6,2,1,23.47,3
Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,active,314.86,4.528400000000004,4,2,0,6.48,3
Chloroxine,Oc1c(Cl)cc(Cl)c2cccnc12,active,214.051,3.2472000000000003,0,2,1,33.120000000000005,2
Mitiglinide,O=C(O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1,active,315.41299999999995,2.9686000000000012,5,2,1,57.61,3
Ergometrine,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,active,325.4120000000001,1.5346000000000002,3,3,3,68.36,4
Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,488.01700000000034,3.3135400000000015,7,9,3,106.50999999999999,4
Paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,active,426.49200000000025,3.081320000000002,4,7,1,84.39,5
Varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,active,211.26799999999994,1.8038999999999998,0,3,1,37.81,4
Glisoxepide,Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,active,449.53300000000036,1.734419999999999,7,7,3,133.64,3
Forasartan,CCCCc1nc(CCCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)nc2)n1,active,416.5330000000001,4.253700000000003,10,7,1,98.06,4
Spirapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,active,466.62500000000034,2.3908000000000005,9,7,2,95.94000000000001,3
Yohimbine,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,active,354.4500000000001,2.6471000000000013,1,4,2,65.56,5
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,active,399.4430000000002,2.871600000000001,5,6,1,83.09,3
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,active,337.46300000000014,4.221000000000004,0,3,1,46.260000000000005,5
Tiotropium,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,active,392.5220000000001,2.3457,4,6,1,59.06,5
Acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,active,353.33000000000004,3.517800000000003,5,6,1,110.65,3
Alizapride,C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,active,315.3770000000001,1.3466999999999996,6,5,2,83.14,3
Aprindine,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,active,322.4960000000001,4.392300000000004,8,2,0,6.48,3
3-Methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1C,active,356.535,4.444200000000004,6,3,0,23.550000000000004,3
Diethyltryptamine,CCN(CC)CCc1c[nH]c2ccccc12,active,216.328,3.052200000000001,5,1,1,19.03,2
Fencamfamin,CCNC1C2CCC(C2)C1c1ccccc1,active,215.34000000000003,3.178200000000002,3,1,1,12.03,3
Furethidine,CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,active,361.4820000000002,2.778900000000001,8,5,0,48.0,3
Acetorphine,CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(OC(C)=O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,active,453.5790000000003,3.383300000000002,5,6,1,68.23,7
alpha-methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1,active,356.5350000000001,4.586700000000005,6,3,0,23.550000000000004,3
Etorphine,CCCC(C)(O)C1C[C@@]23C=CC1(OC)C1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,active,411.5420000000002,3.1636000000000015,4,5,2,62.160000000000004,7
Furazabol,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,active,330.4720000000001,3.7780000000000036,0,4,1,59.150000000000006,5
Clonitazene,CCN(CC)CCn1c(Cc2ccc(Cl)cc2)nc2cc([N+](=O)[O-])ccc21,active,386.88300000000015,4.530500000000004,8,5,0,64.2,3
Dextromoramide,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,active,392.543,3.5634000000000023,6,3,0,32.78,4
Desomorphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2CCC[C@H]3[C@H]1C5,active,271.35999999999996,2.4513000000000007,0,3,1,32.7,5
α-Methylacetylfentanyl,CC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,active,336.47900000000004,4.135100000000004,5,2,0,23.550000000000004,3
Dihydromorphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,active,287.359,1.4221,0,4,2,52.93000000000001,5
3-Methylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1C,active,350.50600000000003,4.382700000000004,6,2,0,23.550000000000004,3
Ursodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,active,392.5800000000002,4.477900000000004,4,3,3,77.76,4
Solifenacin,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,active,362.47300000000007,3.864900000000003,2,3,0,32.78,6
Periciazine,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,active,365.502,4.007780000000003,4,5,1,50.5,4
Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,active,326.465,4.443600000000004,5,4,0,23.550000000000004,3
Molindone,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,active,276.38,1.96282,3,3,1,45.33,3
Pipotiazine,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,active,475.6800000000003,4.024100000000003,8,6,1,64.09,4
Thioproperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,active,446.6420000000003,3.177100000000001,6,6,0,47.1,4
"2-amino-3-[4-hydroxy-6-oxo-3-(2-phenyl-cyclopropylimino)-cyclohexa-1,4-dienyl]-propionic acid",NC(CC1C/C(=N\C2CC2c2ccccc2)C(O)=CC1=O)C(=O)O,active,328.3680000000001,1.8163999999999998,5,5,3,112.98,3
[2-(1-Amino-2-Hydroxy-Propyl)-4-(4-Fluoro-1h-Indol-3-Ylmethyl)-5-Hydroxy-Imidazol-1-Yl]-Acetic Acid,C[C@H](O)[C@H](N)c1nc(Cc2c[nH]c3cccc(F)c23)c(O)n1CC(=O)O,active,362.36100000000016,1.2651,6,6,5,137.39,3
Topiroxostat,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,active,248.24900000000005,1.8003799999999996,2,5,1,91.14,3
